Guayaquil, Guayas,25,27
Quito, Pichincha,19,21
Madrid, Comunidad de Madrid,27,26
Madrid, Comunidad de Madrid,21,19
Guayaquil, Guayas,28,30
Quito, Pichincha,16,14
Guayaquil, Guayas,26,28
Madrid, Comunidad de Madrid,19,18
Quito, Pichincha,22,20
Guayaquil, Guayas,26,28
Madrid, Comunidad de Madrid,19,18
Quito, Pichincha,22,20
Madrid, Comunidad de Madrid,19,18
Guayaquil, Guayas,26,28
Quito, Pichincha,22,20
Guayaquil, Guayas,26,28
Madrid, Comunidad de Madrid,19,18
Quito, Pichincha,22,20
Madrid, Comunidad de Madrid,19,18
Quito, Pichincha,22,20
Guayaquil, Guayas,26,28
Quito, Pichincha,22,20
Madrid, Comunidad de Madrid,19,18
Guayaquil, Guayas,26,28
Madrid, Comunidad de Madrid,19,18
Guayaquil, Guayas,26,28
Quito, Pichincha,22,20
